dep;semaine;sursaud_cl_age_corona;Nbre_pass_Corona;Nbre_pass_tot;Nbre_hospit_Corona;Nbre_acte_corona;Nbre_acte_tot
13;2020-S10;A;6;2436;2;2;542
13;2020-S10;B;20;3667;10;3;521
13;2020-S10;C;7;1734;1;1;206
13;2020-S10;D;4;660;2;1;62
13;2020-S10;E;3;1295;2;1;122
13;2020-S11;0;55;9223;20;50;1837
13;2020-S11;A;0;2427;0;12;699
13;2020-S11;B;20;3294;3;26;680
13;2020-S11;C;19;1699;2;7;234
13;2020-S11;D;2;638;2;2;84
13;2020-S11;E;14;1165;13;1;127
14;2020-S10;0;17;3068;8;6;2697
14;2020-S10;A;2;676;0;1;844
14;2020-S10;B;10;1061;4;4;1220
14;2020-S10;C;4;540;3;0;374
14;2020-S10;D;1;315;1;1;101
14;2020-S10;E;0;476;0;0;158
14;2020-S11;0;140;2802;12;61;2789
14;2020-S11;A;13;630;1;11;908
14;2020-S11;B;70;1053;4;37;1288
14;2020-S11;C;33;499;2;11;358
14;2020-S11;D;17;236;1;0;73
14;2020-S11;E;7;384;4;2;162
15;2020-S10;0;0;556;0;;
15;2020-S10;A;0;84;0;;
15;2020-S10;B;0;185;0;;
15;2020-S10;C;0;128;0;;
15;2020-S10;D;0;38;0;;
15;2020-S10;E;0;121;0;;
15;2020-S11;0;2;559;2;;
15;2020-S11;A;0;92;0;;
15;2020-S11;B;0;176;0;;
15;2020-S11;C;0;116;0;;
15;2020-S11;D;1;57;1;;
15;2020-S11;E;1;118;1;;
16;2020-S10;0;0;1577;0;;
16;2020-S10;A;0;125;0;;
16;2020-S10;B;0;564;0;;
16;2020-S10;C;0;341;0;;
16;2020-S10;D;0;171;0;;
16;2020-S10;E;0;376;0;;
16;2020-S11;0;1;1583;1;;
16;2020-S11;A;0;209;0;;
16;2020-S11;B;1;563;1;;
16;2020-S11;C;0;332;0;;
16;2020-S11;D;0;159;0;;
16;2020-S11;E;0;320;0;;
17;2020-S10;0;23;3045;9;0;407
17;2020-S10;A;2;343;0;0;107
17;2020-S10;B;3;976;0;0;158
17;2020-S10;C;12;638;5;0;60
17;2020-S10;D;1;404;0;0;24
17;2020-S10;E;5;683;4;0;57
17;2020-S11;0;67;2753;8;0;414
17;2020-S11;A;9;376;0;0;103
17;2020-S11;B;22;875;0;0;167
17;2020-S11;C;26;543;4;0;71
17;2020-S11;D;9;340;4;0;27
17;2020-S11;E;1;619;0;0;46
18;2020-S10;0;0;863;0;0;1574
18;2020-S10;A;0;130;0;0;419
18;2020-S10;B;0;274;0;0;810
18;2020-S10;C;0;185;0;0;247
18;2020-S10;D;0;80;0;0;47
18;2020-S10;E;0;194;0;0;51
18;2020-S11;0;19;862;0;0;1472
18;2020-S11;A;8;161;0;0;421
18;2020-S11;B;10;268;0;0;729
18;2020-S11;C;1;171;0;0;230
18;2020-S11;D;0;100;0;0;56
18;2020-S11;E;0;162;0;0;36
19;2020-S10;0;2;1262;2;;
19;2020-S10;A;0;186;0;;
19;2020-S10;B;0;425;0;;
19;2020-S10;C;2;259;2;;
19;2020-S10;D;0;131;0;;
19;2020-S10;E;0;261;0;;
19;2020-S11;0;3;1077;2;;
19;2020-S11;A;0;161;0;;
19;2020-S11;B;3;367;2;;
19;2020-S11;C;0;221;0;;
19;2020-S11;D;0;96;0;;
19;2020-S11;E;0;232;0;;
21;2020-S10;0;47;2164;22;5;1050
21;2020-S10;A;0;253;0;0;268
21;2020-S10;B;14;862;4;3;472
21;2020-S10;C;12;449;4;2;165
21;2020-S10;D;8;231;5;0;53
21;2020-S10;E;13;369;9;0;92
21;2020-S11;0;58;1925;30;61;891
21;2020-S11;A;1;230;0;7;232
21;2020-S11;B;20;740;4;32;435
21;2020-S11;C;13;416;9;13;126
21;2020-S11;D;10;189;6;3;42
21;2020-S11;E;14;350;11;6;56
22;2020-S10;0;1;1943;0;;
22;2020-S10;A;0;391;0;;
22;2020-S10;B;1;630;0;;
22;2020-S10;C;0;339;0;;
22;2020-S10;D;0;188;0;;
22;2020-S10;E;0;395;0;;
22;2020-S11;0;4;1750;0;;
22;2020-S11;A;1;397;0;;
22;2020-S11;B;2;557;0;;
22;2020-S11;C;1;323;0;;
22;2020-S11;D;0;183;0;;
22;2020-S11;E;0;290;0;;
23;2020-S10;0;0;456;0;;
23;2020-S10;A;0;52;0;;
23;2020-S10;B;0;122;0;;
23;2020-S10;C;0;108;0;;
23;2020-S10;D;0;45;0;;
23;2020-S10;E;0;129;0;;
23;2020-S11;0;2;439;0;;
23;2020-S11;A;0;63;0;;
23;2020-S11;B;0;129;0;;
23;2020-S11;C;2;100;0;;
23;2020-S11;D;0;46;0;;
23;2020-S11;E;0;101;0;;
24;2020-S10;0;1;1287;0;;
24;2020-S10;A;0;118;0;;
24;2020-S10;B;1;432;0;;
24;2020-S10;C;0;278;0;;
24;2020-S10;D;0;153;0;;
24;2020-S10;E;0;306;0;;
24;2020-S11;0;5;1225;5;;
24;2020-S11;A;0;140;0;;
24;2020-S11;B;2;430;2;;
24;2020-S11;C;2;271;2;;
24;2020-S11;D;0;135;0;;
24;2020-S11;E;1;249;1;;
25;2020-S10;0;12;1605;3;3;1111
25;2020-S10;A;2;357;0;1;273
25;2020-S10;B;8;573;1;0;428
25;2020-S10;C;0;300;0;1;183
25;2020-S10;D;0;136;0;1;82
25;2020-S10;E;2;239;2;0;103
25;2020-S11;0;50;1448;28;14;965
25;2020-S11;A;3;338;1;2;245
25;2020-S11;B;19;519;8;7;418
25;2020-S11;C;12;242;5;4;168
25;2020-S11;D;6;129;6;0;51
25;2020-S11;E;10;220;8;1;76
26;2020-S10;0;13;2353;0;;
26;2020-S10;A;1;568;0;;
26;2020-S10;B;8;794;0;;
26;2020-S10;C;4;437;0;;
26;2020-S10;D;0;204;0;;
26;2020-S10;E;0;350;0;;
26;2020-S11;0;25;2121;18;;
26;2020-S11;A;0;524;0;;
26;2020-S11;B;5;767;1;;
26;2020-S11;C;6;345;5;;
26;2020-S11;D;4;177;2;;
26;2020-S11;E;10;308;10;;
27;2020-S10;0;0;1235;0;;
27;2020-S10;A;0;217;0;;
27;2020-S10;B;0;535;0;;
27;2020-S10;C;0;260;0;;
27;2020-S10;D;0;100;0;;
27;2020-S10;E;0;123;0;;
27;2020-S11;0;0;1311;0;;
27;2020-S11;A;0;224;0;;
27;2020-S11;B;0;574;0;;
27;2020-S11;C;0;299;0;;
27;2020-S11;D;0;79;0;;
27;2020-S11;E;0;135;0;;
28;2020-S10;0;3;2402;0;;
28;2020-S10;A;1;296;0;;
28;2020-S10;B;2;940;0;;
28;2020-S10;C;0;531;0;;
28;2020-S10;D;0;231;0;;
28;2020-S10;E;0;404;0;;
28;2020-S11;0;9;2207;2;;
28;2020-S11;A;0;334;0;;
28;2020-S11;B;6;887;0;;
28;2020-S11;C;1;438;0;;
28;2020-S11;D;1;214;1;;
28;2020-S11;E;1;334;1;;
29;2020-S10;0;2;4349;1;0;1443
29;2020-S10;A;1;857;1;0;438
29;2020-S10;B;1;1511;0;0;630
29;2020-S10;C;0;767;0;0;223
29;2020-S10;D;0;464;0;0;62
29;2020-S10;E;0;749;0;0;88
29;2020-S11;0;3;3528;1;23;1505
29;2020-S11;A;3;805;1;13;497
29;2020-S11;B;0;1196;0;6;637
29;2020-S11;C;0;679;0;4;215
29;2020-S11;D;0;301;0;0;56
29;2020-S11;E;0;547;0;0;99
2A;2020-S10;0;24;676;16;2;380
2A;2020-S10;A;4;106;2;0;102
2A;2020-S10;B;10;261;6;0;159
2A;2020-S10;C;5;143;3;0;73
2A;2020-S10;D;3;63;3;2;27
2A;2020-S10;E;2;103;2;0;12
2A;2020-S11;0;5;469;4;61;590
2A;2020-S11;A;0;69;0;8;136
2A;2020-S11;B;1;169;1;29;261
2A;2020-S11;C;3;112;2;15;128
2A;2020-S11;D;0;55;0;3;39
2A;2020-S11;E;1;64;1;5;22
2B;2020-S10;0;64;861;63;;
2B;2020-S10;A;9;147;9;;
2B;2020-S10;B;36;325;35;;
2B;2020-S10;C;18;188;18;;
2B;2020-S10;D;1;88;1;;
2B;2020-S10;E;0;113;0;;
2B;2020-S11;0;153;829;153;;
2B;2020-S11;A;21;124;21;;
2B;2020-S11;B;85;324;85;;
2B;2020-S11;C;36;197;36;;
2B;2020-S11;D;7;81;7;;
2B;2020-S11;E;4;103;4;;
30;2020-S10;0;0;3574;0;0;750
30;2020-S10;A;0;834;0;0;264
30;2020-S10;B;0;1289;0;0;316
30;2020-S10;C;0;622;0;0;101
30;2020-S10;D;0;301;0;0;30
30;2020-S10;E;0;528;0;0;39
30;2020-S11;0;1;3187;0;13;705
30;2020-S11;A;0;683;0;3;253
30;2020-S11;B;1;1148;0;5;270
30;2020-S11;C;0;597;0;3;116
30;2020-S11;D;0;302;0;1;28
30;2020-S11;E;0;457;0;1;38
31;2020-S10;0;13;5775;9;1;1156
31;2020-S10;A;0;1237;0;1;354
31;2020-S10;B;5;2335;1;0;531
31;2020-S10;C;2;1103;2;0;137
31;2020-S10;D;2;395;2;0;45
31;2020-S10;E;4;705;4;0;89
31;2020-S11;0;174;5259;92;84;1233
31;2020-S11;A;13;1156;0;30;333
31;2020-S11;B;73;2209;22;43;606
31;2020-S11;C;37;914;21;8;166
31;2020-S11;D;15;361;14;2;48
31;2020-S11;E;36;619;35;1;80
32;2020-S10;0;1;558;1;;
32;2020-S10;A;0;101;0;;
32;2020-S10;B;0;179;0;;
32;2020-S10;C;0;109;0;;
32;2020-S10;D;1;41;1;;
32;2020-S10;E;0;128;0;;
32;2020-S11;0;17;476;11;;
32;2020-S11;A;0;79;0;;
32;2020-S11;B;6;159;2;;
32;2020-S11;C;4;91;3;;
32;2020-S11;D;2;44;1;;
32;2020-S11;E;5;103;5;;
33;2020-S10;0;5;5968;1;32;6695
33;2020-S10;A;0;1020;0;2;1806
33;2020-S10;B;2;2261;0;17;2917
33;2020-S10;C;3;1115;1;10;1095
33;2020-S10;D;0;558;0;2;323
33;2020-S10;E;0;1014;0;1;554
33;2020-S11;0;18;5627;8;340;6738
33;2020-S11;A;1;1171;0;44;1790
33;2020-S11;B;8;2082;2;212;3109
33;2020-S11;C;6;1088;3;68;1062
33;2020-S11;D;2;473;2;5;313
33;2020-S11;E;1;813;1;10;461
34;2020-S10;0;11;6208;9;0;975
34;2020-S10;A;5;1572;5;0;339
34;2020-S10;B;1;2303;0;0;385
34;2020-S10;C;1;1037;0;0;159
34;2020-S10;D;1;496;1;0;40
34;2020-S10;E;3;800;3;0;52
34;2020-S11;0;69;5229;27;21;833
34;2020-S11;A;46;1282;16;10;299
34;2020-S11;B;9;1880;0;8;337
34;2020-S11;C;6;984;3;1;132
34;2020-S11;D;3;436;3;2;30
34;2020-S11;E;5;647;5;0;35
35;2020-S10;0;1;4201;1;2;1301
35;2020-S10;A;0;1062;0;0;288
35;2020-S10;B;0;1594;0;1;584
35;2020-S10;C;1;664;1;1;166
35;2020-S10;D;0;297;0;0;69
35;2020-S10;E;0;584;0;0;194
35;2020-S11;0;40;3947;13;9;1307
35;2020-S11;A;16;995;1;5;297
35;2020-S11;B;8;1484;4;3;569
35;2020-S11;C;9;670;2;1;195
35;2020-S11;D;3;279;2;0;60
35;2020-S11;E;4;518;4;0;183
36;2020-S10;0;0;773;0;;
36;2020-S10;A;0;154;0;;
36;2020-S10;B;0;249;0;;
36;2020-S10;C;0;151;0;;
36;2020-S10;D;0;79;0;;
36;2020-S10;E;0;140;0;;
36;2020-S11;0;0;806;0;;
36;2020-S11;A;0;159;0;;
36;2020-S11;B;0;276;0;;
36;2020-S11;C;0;157;0;;
36;2020-S11;D;0;75;0;;
36;2020-S11;E;0;139;0;;
37;2020-S10;0;0;2376;0;2;1437
37;2020-S10;A;0;672;0;0;343
37;2020-S10;B;0;750;0;2;773
37;2020-S10;C;0;409;0;0;192
37;2020-S10;D;0;174;0;0;37
